Time	Open	High	Low	Close	Volume
2007-12-26 00:00:00	808.105	825.792	807.586	823.261	1329
2007-12-27 00:00:00	823.231	830.957	821.149	825.065	1402
2007-12-28 00:00:00	825.022	840.464	824.914	840.013	1233
2007-12-30 00:00:00	839.922	842.545	838.648	841.301	145
2007-12-31 00:00:00	841.271	842.901	829.785	833.006	1272
2008-01-01 00:00:00	832.982	838.312	832.865	838.015	718
2008-01-02 00:00:00	838.088	860.809	834.122	855.638	1390
2008-01-03 00:00:00	855.607	868.807	852.92	865.257	1407
2008-01-04 00:00:00	865.273	868.347	854.163	858.922	1249
2008-01-06 00:00:00	859.348	862.295	858.73	858.931	153
2008-01-07 00:00:00	858.902	864.554	854.915	859.878	1406
2008-01-08 00:00:00	859.814	891.013	859.522	890.441	1408
2008-01-09 00:00:00	890.523	891.045	872.327	881.214	1401
2008-01-10 00:00:00	881.194	897.291	866.151	891.649	1414
2008-01-11 00:00:00	891.512	897.559	887.482	894.748	1252
2008-01-13 00:00:00	895.522	898.27	894.668	896.529	151
2008-01-14 00:00:00	896.532	913.916	891.654	907.144	1402
2008-01-15 00:00:00	907.045	913.793	887.169	896.451	1412
2008-01-16 00:00:00	896.408	899.434	874.305	880.351	1419
2008-01-17 00:00:00	880.341	889.678	875.502	876.592	1404
2008-01-18 00:00:00	876.563	888.147	870.114	882.72	1257
2008-01-20 00:00:00	883.97	884.477	877.303	878.207	155
2008-01-21 00:00:00	878.22	882.872	855.247	855.292	1388
2008-01-22 00:00:00	855.19	894.044	849.219	887.79	1418
2008-01-23 00:00:00	887.778	895.406	876.162	890.594	1418
2008-01-24 00:00:00	890.583	913.672	888.728	909.983	1403
2008-01-25 00:00:00	909.969	923.304	906.097	913.247	1241
2008-01-27 00:00:00	913.02	919.68	911.148	914.615	147
2008-01-28 00:00:00	914.556	928.987	914.423	928.569	1410
2008-01-29 00:00:00	928.502	932.741	919.1	920.506	1405
2008-01-30 00:00:00	920.424	936.384	915.984	923.871	1417
2008-01-31 00:00:00	923.765	928.023	918.253	927.227	1414
2008-02-01 00:00:00	927.224	936.386	903.5	904.907	1245
2008-02-03 00:00:00	909.723	911.767	905.376	911.023	153
2008-02-04 00:00:00	911.063	912.503	892.158	904.703	1405
2008-02-05 00:00:00	904.665	905.242	884.392	887.971	1408
2008-02-06 00:00:00	887.938	906.993	885.7	898.363	1403
2008-02-07 00:00:00	898.427	911.365	896.445	908.026	1395
2008-02-08 00:00:00	907.896	922.773	907.711	922.446	1253
2008-02-10 00:00:00	923.248	923.568	919.748	922.92	151
2008-02-11 00:00:00	922.915	926.76	915.752	920.796	1405
2008-02-12 00:00:00	920.762	924.368	902.682	906.175	1402
2008-02-13 00:00:00	906.262	910.34	896.076	907.28	1408
2008-02-14 00:00:00	907.353	913.623	901.521	909.763	1397
2008-02-15 00:00:00	909.788	915.214	897.783	901.837	1246
2008-02-17 00:00:00	901.923	904.753	900.93	903.792	138
2008-02-18 00:00:00	903.762	907.51	900.042	906.985	1331
2008-02-19 00:00:00	907.046	930.282	906.212	928.803	1401
2008-02-20 00:00:00	928.783	945.341	914.307	940.563	1418
2008-02-21 00:00:00	940.597	953.428	937.696	941.239	1405
2008-02-22 00:00:00	941.308	949.375	935.052	944.707	1253
2008-02-24 00:00:00	944.048	948.219	943.992	947.008	153
2008-02-25 00:00:00	947.024	951.68	933.122	936.336	1389
2008-02-26 00:00:00	936.332	955.791	926.374	955.148	1411
2008-02-27 00:00:00	955.157	964.202	952.195	958.343	1395
2008-02-28 00:00:00	958.311	972.816	952.843	971.216	1404
2008-02-29 00:00:00	971.193	975.714	964.847	973.248	1254
2008-03-02 00:00:00	973.423	979.784	972.427	978.623	151
2008-03-03 00:00:00	978.712	989.156	977.62	986.138	1405
2008-03-04 00:00:00	986.165	987.739	955.971	964.692	1412
